Datum,Start,Einde,Plaats,Omschrijving,Issue #,Opmerkingen
16/08/22,10:00,11:00,Contacturen,Eerste fysieke samenkomst en ToDo-lijst overlopen,,
16/08/22,14:32,15:40,Extern,tiwi masterproef verplichte taken bekeken + werkplan en logboek opgesteld,,
17/08/22,09:50,11:05,Extern,video introductie Stanford deep learning course bekeken,,
17/08/22,17:00,18:05,Extern,slides Stanford deep learning course chapter 2 bekeken,,
18/08/22,10:19,11:15,Extern,Deep learning fundamentals playlist bekeken,,
18/08/22,10:19,11:15,Extern,Stanford deep learning course lecture 2 bekeken,,
19/08/22,09:27,11:03,Extern,pytorch geïnstalleerd + Tutorial pytorch tensors gevolgd,,
19/08/22,14:59,15:55,Extern,vervolg Deep learning fundamentals playlist bekeken,,
20/08/22,09:30,11:30,Extern,pytorch tutorials: Datasets and Databoarders + transforms + build the model,,
21/08/22,10:55,11:48,Extern,deep learning fundamentals: backpropagation,,
21/08/22,16:39,18:00,Extern,deep learning fundamentals: vanishing and exploding gradient,,
22/08/22,10:03,11:05,Extern,reinforcement learning fundamentals: markov decision processes,,
22/08/22,16:58,18:05,Extern,reinforcement learning fundamentals: Q learning,,
23/08/22,13:14,14:00,Extern,pytorch tutorials: automatic diferentation and optimization loops,,
