"Step","typical_run - number_of_actions_in_episode","typical_run - number_of_actions_in_episode__MIN","typical_run - number_of_actions_in_episode__MAX"
"538","299","299","299"
"1142","299","299","299"
"1746","299","299","299"
"2350","299","299","299"
"2954","299","299","299"
"3558","299","299","299"
"4162","299","299","299"
"4766","299","299","299"
"5370","299","299","299"
"5974","299","299","299"
"6578","299","299","299"
"7182","299","299","299"
"7786","299","299","299"
"8390","299","299","299"
"8994","299","299","299"
"9598","299","299","299"
"10202","299","299","299"
"10806","299","299","299"
"11410","299","299","299"
"12014","299","299","299"
"12618","299","299","299"
"13222","299","299","299"
"13826","299","299","299"
"14430","299","299","299"
"15034","299","299","299"
"15638","299","299","299"
"16242","299","299","299"
"16846","299","299","299"
"17450","299","299","299"
"18054","299","299","299"
"18658","299","299","299"
"19262","299","299","299"
"19866","299","299","299"
"20470","299","299","299"
"21074","299","299","299"
"21678","299","299","299"
"22282","299","299","299"
"22886","299","299","299"
"23490","299","299","299"
"24094","299","299","299"
"24698","299","299","299"
"25302","299","299","299"
"25906","299","299","299"
"26510","299","299","299"
"27114","299","299","299"
"27718","299","299","299"
"28322","299","299","299"
"28926","299","299","299"
"29508","288","288","288"
"30112","299","299","299"
"30716","299","299","299"
"31320","299","299","299"
"31924","299","299","299"
"32528","299","299","299"
"33132","299","299","299"
"33736","299","299","299"
"34340","299","299","299"
"34944","299","299","299"
"35548","299","299","299"
"36152","299","299","299"
"36756","299","299","299"
"37360","299","299","299"
"37964","299","299","299"
"38568","299","299","299"
"39172","299","299","299"
"39652","237","237","237"
"40256","299","299","299"
"40860","299","299","299"
"41424","279","279","279"
"42028","299","299","299"
"42546","256","256","256"
"43150","299","299","299"
"43718","281","281","281"
"44322","299","299","299"
"44878","275","275","275"
"45480","298","298","298"
"45996","255","255","255"
"46486","242","242","242"
"47090","299","299","299"
"47654","279","279","279"
"48236","288","288","288"
"48736","247","247","247"
"49148","203","203","203"
"49718","282","282","282"
"50322","299","299","299"
"50872","272","272","272"
"51366","244","244","244"
"51764","196","196","196"
"52368","299","299","299"
"52792","209","209","209"
"53310","256","256","256"
"53882","283","283","283"
"54346","229","229","229"
"54812","230","230","230"
"55268","225","225","225"
"55708","217","217","217"
"56172","229","229","229"
"56734","278","278","278"
"57258","259","259","259"
"57842","289","289","289"
"58230","191","191","191"
"58612","188","188","188"
"59084","233","233","233"
"59576","243","243","243"
"60012","215","215","215"
"60526","254","254","254"
"60994","231","231","231"
"61488","244","244","244"
"62092","299","299","299"
"62530","216","216","216"
"62958","211","211","211"
"63372","204","204","204"
"63840","231","231","231"
"64260","207","207","207"
"64754","244","244","244"
"65264","252","252","252"
"65682","206","206","206"
"66092","202","202","202"
"66540","221","221","221"
"66856","155","155","155"
"67364","251","251","251"
"67798","214","214","214"
"68304","250","250","250"
"68908","299","299","299"
"69432","259","259","259"
"70020","291","291","291"
"70624","299","299","299"
"71228","299","299","299"
"71760","263","263","263"
"72256","245","245","245"
"72768","253","253","253"
"73336","281","281","281"
"73904","281","281","281"
"74448","269","269","269"
"74916","231","231","231"
"75520","299","299","299"
"76124","299","299","299"
"76616","243","243","243"
"76986","182","182","182"
"77474","241","241","241"
"77942","231","231","231"
"78452","252","252","252"
"78862","202","202","202"
"79382","257","257","257"
"79880","246","246","246"
"80356","235","235","235"
"80912","275","275","275"
"81350","216","216","216"
"81934","289","289","289"
"82426","243","243","243"
"82942","255","255","255"
"83546","299","299","299"
"84150","299","299","299"
"84754","299","299","299"
"85358","299","299","299"
"85962","299","299","299"
"86566","299","299","299"
"87170","299","299","299"
"87774","299","299","299"
"88374","297","297","297"
"88978","299","299","299"
"89582","299","299","299"
"90082","247","247","247"
"90624","268","268","268"
"91228","299","299","299"
"91832","299","299","299"
"92436","299","299","299"
"93006","282","282","282"
"93580","284","284","284"
"94144","279","279","279"
"94748","299","299","299"
"95248","247","247","247"
"95852","299","299","299"
"96456","299","299","299"
"97060","299","299","299"
"97664","299","299","299"
"98268","299","299","299"
"98872","299","299","299"
"99476","299","299","299"
"100080","299","299","299"
"100684","299","299","299"
"101288","299","299","299"
"101792","249","249","249"
"102396","299","299","299"
"102914","256","256","256"
"103484","282","282","282"
"103960","235","235","235"
"104564","299","299","299"
"105168","299","299","299"
"105772","299","299","299"
"106376","299","299","299"
"106980","299","299","299"
"107418","216","216","216"
"107948","262","262","262"
"108504","275","275","275"
"109030","260","260","260"
"109624","294","294","294"
"110228","299","299","299"
"110672","219","219","219"
"111276","299","299","299"
"111880","299","299","299"
"112442","278","278","278"
"113046","299","299","299"
"113560","254","254","254"
"114140","287","287","287"
"114610","232","232","232"
"115178","281","281","281"
"115782","299","299","299"
"116386","299","299","299"
"116964","286","286","286"
"117568","299","299","299"
"118142","284","284","284"
"118550","201","201","201"
"119074","259","259","259"
"119678","299","299","299"
"120282","299","299","299"
"120786","249","249","249"
"121262","235","235","235"
"121600","166","166","166"
"122160","277","277","277"
"122764","299","299","299"
"123368","299","299","299"
"123880","253","253","253"
"124468","291","291","291"
"124970","248","248","248"
"125476","250","250","250"
"126002","260","260","260"
"126538","265","265","265"
"127142","299","299","299"
"127620","236","236","236"
"128224","299","299","299"
"128828","299","299","299"
"129432","299","299","299"
"130036","299","299","299"
"130592","275","275","275"
"130952","177","177","177"
"131554","298","298","298"
"132158","299","299","299"
"132652","244","244","244"
"133236","289","289","289"
"133694","226","226","226"
"134084","192","192","192"
"134688","299","299","299"
"135274","290","290","290"
"135658","189","189","189"
"136136","236","236","236"
"136570","214","214","214"
"137064","244","244","244"
"137432","181","181","181"
"137798","180","180","180"
"138286","241","241","241"
"138826","267","267","267"
"139250","209","209","209"
"139720","232","232","232"
"140142","208","208","208"
"140620","236","236","236"
"141018","196","196","196"
"141482","229","229","229"
"141820","166","166","166"
"142204","189","189","189"
"142596","193","193","193"
"143052","225","225","225"
"143532","237","237","237"
"144130","296","296","296"
"144706","285","285","285"
"145126","207","207","207"
"145482","175","175","175"
"145880","196","196","196"
"146244","179","179","179"
"146592","171","171","171"
"147162","282","282","282"
"147512","172","172","172"
"147896","189","189","189"
"148190","144","144","144"
"148522","163","163","163"
"148844","158","158","158"
"149102","126","126","126"
"149706","299","299","299"
"150152","220","220","220"
"150756","299","299","299"
"151198","218","218","218"
"151602","199","199","199"
"152106","249","249","249"
"152438","163","163","163"
"152822","189","189","189"
"153320","246","246","246"
"153678","176","176","176"
"154084","200","200","200"
"154424","167","167","167"
"154882","226","226","226"
"155368","240","240","240"
"155736","181","181","181"
"156170","214","214","214"
"156594","209","209","209"
"156940","170","170","170"
"157310","182","182","182"
"157640","162","162","162"
"157992","173","173","173"
"158436","219","219","219"
"158750","154","154","154"
"159100","172","172","172"
"159446","170","170","170"
"159808","178","178","178"
"160192","189","189","189"
"160592","197","197","197"
"160950","176","176","176"
"161388","216","216","216"
"161770","188","188","188"
"162180","202","202","202"
"162580","197","197","197"
"162930","172","172","172"
"163248","156","156","156"
"163624","185","185","185"
"163924","147","147","147"
"164228","149","149","149"
"164654","210","210","210"
"165084","212","212","212"
"165590","250","250","250"
"165878","141","141","141"
"166204","160","160","160"
"166744","267","267","267"
"167142","196","196","196"
"167440","146","146","146"
"167822","188","188","188"
"168134","153","153","153"
"168420","140","140","140"
"168810","192","192","192"
"169244","214","214","214"
"169622","186","186","186"
"170018","195","195","195"
"170406","191","191","191"
"170750","169","169","169"
"171152","198","198","198"
"171562","202","202","202"
"171868","150","150","150"
"172210","168","168","168"
"172534","159","159","159"
"172818","139","139","139"
"173056","116","116","116"
"173336","137","137","137"
"173560","109","109","109"
"173910","172","172","172"
"174254","169","169","169"
"174584","162","162","162"
"174966","188","188","188"
"175286","157","157","157"
"175576","142","142","142"
"176048","233","233","233"
"176286","116","116","116"
"176598","153","153","153"
"177004","200","200","200"
"177290","140","140","140"
"177632","168","168","168"
"177928","145","145","145"
"178256","161","161","161"
"178740","239","239","239"
"179066","160","160","160"
"179388","158","158","158"
"179790","198","198","198"
"180062","133","133","133"
"180384","158","158","158"
"180672","141","141","141"
"180944","133","133","133"
"181378","214","214","214"
"181870","243","243","243"
"182132","128","128","128"
"182452","157","157","157"
"182760","151","151","151"
"183096","165","165","165"
"183438","168","168","168"
"183796","176","176","176"
"184154","176","176","176"
"184494","167","167","167"
"184826","163","163","163"
"185154","161","161","161"
"185536","188","188","188"
"185900","179","179","179"
"186360","227","227","227"
"186584","109","109","109"
"186922","166","166","166"
"187282","177","177","177"
"187566","139","139","139"
"187858","143","143","143"
"188136","136","136","136"
"188418","138","138","138"
"188794","185","185","185"
"189188","194","194","194"
"189560","183","183","183"
"190000","217","217","217"
"190326","160","160","160"
"190580","124","124","124"
"190992","203","203","203"
"191296","149","149","149"
"191538","118","118","118"
"191784","120","120","120"
"192272","241","241","241"
"192640","181","181","181"
"192960","157","157","157"
"193280","157","157","157"
"193626","170","170","170"
"193862","115","115","115"
"194100","116","116","116"
"194334","114","114","114"
"194672","166","166","166"
"194992","157","157","157"
"195234","118","118","118"
"195512","136","136","136"
"195748","115","115","115"
"196028","137","137","137"
"196328","147","147","147"
"196610","138","138","138"
"196890","137","137","137"
"197136","120","120","120"
"197372","115","115","115"
"197694","158","158","158"
"197986","143","143","143"
"198270","139","139","139"
"198628","176","176","176"
"199090","228","228","228"
