"Step","typical_run - episode","typical_run - episode__MIN","typical_run - episode__MAX"
"537","1","1","1"
"538","1","1","1"
"539","1","1","1"
"540","1","1","1"
"1141","2","2","2"
"1142","2","2","2"
"1143","2","2","2"
"1144","2","2","2"
"1745","3","3","3"
"1746","3","3","3"
"1747","3","3","3"
"1748","3","3","3"
"2349","4","4","4"
"2350","4","4","4"
"2351","4","4","4"
"2352","4","4","4"
"2953","5","5","5"
"2954","5","5","5"
"2955","5","5","5"
"2956","5","5","5"
"3557","6","6","6"
"3558","6","6","6"
"3559","6","6","6"
"3560","6","6","6"
"4161","7","7","7"
"4162","7","7","7"
"4163","7","7","7"
"4164","7","7","7"
"4765","8","8","8"
"4766","8","8","8"
"4767","8","8","8"
"4768","8","8","8"
"5369","9","9","9"
"5370","9","9","9"
"5371","9","9","9"
"5372","9","9","9"
"5973","10","10","10"
"5974","10","10","10"
"5975","10","10","10"
"5976","10","10","10"
"6577","11","11","11"
"6578","11","11","11"
"6579","11","11","11"
"6580","11","11","11"
"7181","12","12","12"
"7182","12","12","12"
"7183","12","12","12"
"7184","12","12","12"
"7785","13","13","13"
"7786","13","13","13"
"7787","13","13","13"
"7788","13","13","13"
"8389","14","14","14"
"8390","14","14","14"
"8391","14","14","14"
"8392","14","14","14"
"8993","15","15","15"
"8994","15","15","15"
"8995","15","15","15"
"8996","15","15","15"
"9597","16","16","16"
"9598","16","16","16"
"9599","16","16","16"
"9600","16","16","16"
"10201","17","17","17"
"10202","17","17","17"
"10203","17","17","17"
"10204","17","17","17"
"10805","18","18","18"
"10806","18","18","18"
"10807","18","18","18"
"10808","18","18","18"
"11409","19","19","19"
"11410","19","19","19"
"11411","19","19","19"
"11412","19","19","19"
"12013","20","20","20"
"12014","20","20","20"
"12015","20","20","20"
"12016","20","20","20"
"12617","21","21","21"
"12618","21","21","21"
"12619","21","21","21"
"12620","21","21","21"
"13221","22","22","22"
"13222","22","22","22"
"13223","22","22","22"
"13224","22","22","22"
"13825","23","23","23"
"13826","23","23","23"
"13827","23","23","23"
"13828","23","23","23"
"14429","24","24","24"
"14430","24","24","24"
"14431","24","24","24"
"14432","24","24","24"
"15033","25","25","25"
"15034","25","25","25"
"15035","25","25","25"
"15036","25","25","25"
"15637","26","26","26"
"15638","26","26","26"
"15639","26","26","26"
"15640","26","26","26"
"16241","27","27","27"
"16242","27","27","27"
"16243","27","27","27"
"16244","27","27","27"
"16845","28","28","28"
"16846","28","28","28"
"16847","28","28","28"
"16848","28","28","28"
"17449","29","29","29"
"17450","29","29","29"
"17451","29","29","29"
"17452","29","29","29"
"18053","30","30","30"
"18054","30","30","30"
"18055","30","30","30"
"18056","30","30","30"
"18657","31","31","31"
"18658","31","31","31"
"18659","31","31","31"
"18660","31","31","31"
"19261","32","32","32"
"19262","32","32","32"
"19263","32","32","32"
"19264","32","32","32"
"19865","33","33","33"
"19866","33","33","33"
"19867","33","33","33"
"19868","33","33","33"
"20469","34","34","34"
"20470","34","34","34"
"20471","34","34","34"
"20472","34","34","34"
"21073","35","35","35"
"21074","35","35","35"
"21075","35","35","35"
"21076","35","35","35"
"21677","36","36","36"
"21678","36","36","36"
"21679","36","36","36"
"21680","36","36","36"
"22281","37","37","37"
"22282","37","37","37"
"22283","37","37","37"
"22284","37","37","37"
"22885","38","38","38"
"22886","38","38","38"
"22887","38","38","38"
"22888","38","38","38"
"23489","39","39","39"
"23490","39","39","39"
"23491","39","39","39"
"23492","39","39","39"
"24093","40","40","40"
"24094","40","40","40"
"24095","40","40","40"
"24096","40","40","40"
"24697","41","41","41"
"24698","41","41","41"
"24699","41","41","41"
"24700","41","41","41"
"25301","42","42","42"
"25302","42","42","42"
"25303","42","42","42"
"25304","42","42","42"
"25905","43","43","43"
"25906","43","43","43"
"25907","43","43","43"
"25908","43","43","43"
"26509","44","44","44"
"26510","44","44","44"
"26511","44","44","44"
"26512","44","44","44"
"27113","45","45","45"
"27114","45","45","45"
"27115","45","45","45"
"27116","45","45","45"
"27717","46","46","46"
"27718","46","46","46"
"27719","46","46","46"
"27720","46","46","46"
"28321","47","47","47"
"28322","47","47","47"
"28323","47","47","47"
"28324","47","47","47"
"28925","48","48","48"
"28926","48","48","48"
"28927","48","48","48"
"28928","48","48","48"
"29507","49","49","49"
"29508","49","49","49"
"29509","49","49","49"
"29510","49","49","49"
"30111","50","50","50"
"30112","50","50","50"
"30113","50","50","50"
"30114","50","50","50"
"30715","51","51","51"
"30716","51","51","51"
"30717","51","51","51"
"30718","51","51","51"
"31319","52","52","52"
"31320","52","52","52"
"31321","52","52","52"
"31322","52","52","52"
"31923","53","53","53"
"31924","53","53","53"
"31925","53","53","53"
"31926","53","53","53"
"32527","54","54","54"
"32528","54","54","54"
"32529","54","54","54"
"32530","54","54","54"
"33131","55","55","55"
"33132","55","55","55"
"33133","55","55","55"
"33134","55","55","55"
"33735","56","56","56"
"33736","56","56","56"
"33737","56","56","56"
"33738","56","56","56"
"34339","57","57","57"
"34340","57","57","57"
"34341","57","57","57"
"34342","57","57","57"
"34943","58","58","58"
"34944","58","58","58"
"34945","58","58","58"
"34946","58","58","58"
"35547","59","59","59"
"35548","59","59","59"
"35549","59","59","59"
"35550","59","59","59"
"36151","60","60","60"
"36152","60","60","60"
"36153","60","60","60"
"36154","60","60","60"
"36755","61","61","61"
"36756","61","61","61"
"36757","61","61","61"
"36758","61","61","61"
"37359","62","62","62"
"37360","62","62","62"
"37361","62","62","62"
"37362","62","62","62"
"37963","63","63","63"
"37964","63","63","63"
"37965","63","63","63"
"37966","63","63","63"
"38567","64","64","64"
"38568","64","64","64"
"38569","64","64","64"
"38570","64","64","64"
"39171","65","65","65"
"39172","65","65","65"
"39173","65","65","65"
"39174","65","65","65"
"39651","66","66","66"
"39652","66","66","66"
"39653","66","66","66"
"39654","66","66","66"
"40255","67","67","67"
"40256","67","67","67"
"40257","67","67","67"
"40258","67","67","67"
"40859","68","68","68"
"40860","68","68","68"
"40861","68","68","68"
"40862","68","68","68"
"41423","69","69","69"
"41424","69","69","69"
"41425","69","69","69"
"41426","69","69","69"
"42027","70","70","70"
"42028","70","70","70"
"42029","70","70","70"
"42030","70","70","70"
"42545","71","71","71"
"42546","71","71","71"
"42547","71","71","71"
"42548","71","71","71"
"43149","72","72","72"
"43150","72","72","72"
"43151","72","72","72"
"43152","72","72","72"
"43717","73","73","73"
"43718","73","73","73"
"43719","73","73","73"
"43720","73","73","73"
"44321","74","74","74"
"44322","74","74","74"
"44323","74","74","74"
"44324","74","74","74"
"44877","75","75","75"
"44878","75","75","75"
"44879","75","75","75"
"44880","75","75","75"
"45479","76","76","76"
"45480","76","76","76"
"45481","76","76","76"
"45482","76","76","76"
"45995","77","77","77"
"45996","77","77","77"
"45997","77","77","77"
"45998","77","77","77"
"46485","78","78","78"
"46486","78","78","78"
"46487","78","78","78"
"46488","78","78","78"
"47089","79","79","79"
"47090","79","79","79"
"47091","79","79","79"
"47092","79","79","79"
"47653","80","80","80"
"47654","80","80","80"
"47655","80","80","80"
"47656","80","80","80"
"48235","81","81","81"
"48236","81","81","81"
"48237","81","81","81"
"48238","81","81","81"
"48735","82","82","82"
"48736","82","82","82"
"48737","82","82","82"
"48738","82","82","82"
"49147","83","83","83"
"49148","83","83","83"
"49149","83","83","83"
"49150","83","83","83"
"49717","84","84","84"
"49718","84","84","84"
"49719","84","84","84"
"49720","84","84","84"
"50321","85","85","85"
"50322","85","85","85"
"50323","85","85","85"
"50324","85","85","85"
"50871","86","86","86"
"50872","86","86","86"
"50873","86","86","86"
"50874","86","86","86"
"51365","87","87","87"
"51366","87","87","87"
